ditto mark,〃
jade,翠玉
sobering up,酔い醒め
drunken fellow,酔漢
to be carried away,酔い痴れる
intoxication,酔態
high rugged mountain,峻嶺
brief sketch,寸描
pithy saying,寸鉄
settlement,村落
unexpectedly,存外
subsistence,存立
chainlike,鎖状
chain stitch,鎖編み
sins (which prevent entry into bliss),罪障
village,都邑
town and country,都鄙
outer garment (in kabuki),着つけ
head (of office),署長
official,所員
preface,緒言
drawstring on pouch or purse (handbag),緒締め
Hundred Schools of Thought,諸子
(all of) you or those men,諸兄
(Jodo school) all practices other than recitation of the nembutsu prayer,諸行
you ladies,諸姉
minor parties,諸派
various phases,諸相
gentlemen,諸賢
to write out,書きあげる
penmanship,書写
note,書状
paintings and calligraphic works,書画
individual with good penmanship,書家
will,書置き
no losses,土つかず
summer airing (of clothes),土用干し
deathly pale,土色
earthenware teapot,土瓶
godown,土蔵
social studies,社会科
shrines and temples,社寺
(main building of a) Shinto shrine,社殿
calisthenics (performed without using any apparatus),徒手体操
penal servitude,徒刑
idleness,徒食
prostitute,徒桜
fellows,徒輩
stone pillar,石柱
salary,石高
black lead,石墨
rubbed copy,石摺り
the mark,図星
(political) party convention,党大会
party discipline,党紀
party politics (tactics),党略
strength of a party,党勢
party evils,党弊
party register,党籍
monopoly,専有
collective bargaining,団交
inversion,転化
rotary kiln,転炉
figurative meaning,転義
attendant,随員
pygmy waterlily (Nymphaea tetragona),睡蓮
Morpheus,睡魔
lively type of shamisen song,段物
forging,鍛造
forge welding,鍛接
wrought iron,鍛鉄
forged steel,鍛鋼
Dragon Boat Festival (China),端五
postscript,端書
garrison (in Meiji era),鎮台
hothouse flower cultivation,室咲き
doctor's fee,診察料
society,実社会
eve of the anniversary of a person's death,逮夜
article for pawning,質種
suitable land,勝地
to secure,勝ちとる
game (of chance),勝負事
dried chestnut,搗栗
to attain,贏ち得る
to take the lead over an opponent (in points),勝越す
ups and downs,騰落
box (e.g. on a form),枡目
hatch(way),昇降口
ascending a hill,登坂
opening to honors,登龍門
attendance at an (academic) institute,登院
witness stand or box,証人台
witness,証左
to substantiate,証拠立てる
(inspection or certification) stamp,証紙
chit,証票
steamed cake,蒸菓子
designation,称呼
to call off,取りやめる
one's portion,取分
to demolish,とり払う
especially,取立てて
to put together,取りそろえる
suzerain,宗主
Imperial mausoleum,宗廟
outside a window,窓外
(organisational) headquarters,総本山
total points or score,総点
general,総括的
combined efforts,総掛かり
immediately,速攻
rapid firing,速射
fastball,速球
several times (as large, over),数倍
underling,従卒
appurtenance,従物
cat's-paw,走狗
report to the Emperor,奏上
efficacy,奏効
petitioning the Emperor,奏請
forwarding,送致
service of process,送達
chief priest,方丈
nowadays,方今
square and round shapes,方円
your kind intentions,芳情
pasture,放牧地
wanderlust,放浪癖
visiting (gala) dress,訪問着
salve,塗擦剤
sacrificing one's life for the sake of mankind or Buddhist teachings,捨身
tea tray,茶盆
farce,茶番劇
preview,予告篇
expected price,予価
something standing in the open,野立て
enthusiasm for baseball,野球熱
making camp,野営
fielder's choice,野選
bank account,預貯金
Axis powers (World War II),枢軸国
physique,躯幹
respectful congratulations,恭賀
QSO,準星
propulsion,推力
spring scenery,春色
spring season,春季
sexual passion,春情
springtime haze,春霞
kitchen maid,炊婦
procession,隊伍
disposition of troops,隊形
antithesis,対句
opposite side,対辺
oncoming car,対向車
with America,対米
(playing) a game of go, shogi or chess, etc.,対局
consideration,対価
troposphere,対流圏
conversation (face-to-face),対語
congratulatory address,賀表
door light,軒燈
China,漢土
kanji dictionary,漢和字典
Chinese classics,漢籍
number of ken (in length or breadth),間数
vain person,見栄坊
hard cash,現生
to make keen,研澄ます
prominent or high post,顕職
to recheck,調べなおす
horse training or breaking,調馬
rice with minced sea bream (tai),鯛飯
ripe persimmon,熟柿
principal of a private school,塾長
making pottery and casting metal,陶冶
faithfulness,篤実
devotion,篤信
reconciliation,融和
melting point,融点
shameful behaviour,醜行
women's advances,据膳
one's daughter-in-law,嫁ご
prescription,処方せん
something upon which to rely,拠所
informal talk given (as by a politician, etc.) aboard a train,車中談
barrier,車止
rickshaw station,くるま屋
porte cochere,車寄
comic (satirical) tanka,狂歌
queen,后妃
the (Japanese) empire,皇国
imperial grandchild or descendant,皇孫
advertising space,広告欄
driving,横なぐり
sliding sideways down a slope (skiing),横辷り
light and heat,光熱
first tea of the season,新茶
post-Xuanzang Chinese translation (i.e. mid 7th century onward),新訳
Imperial prince,親王
pro-American,親米
final day,最終日
distant seas,絶海
fasting,絶食
lonely (isolated) island,絶島
superb poem or song,絶唱
picturesque scenery,絶景
nought,絶無
cleft,絶えま
seasonal court banquet,節会
intonation,節回し
year end,節季
rhythm,節奏
confinement to one's house on an unlucky day,物忌
B.A.,文学士
department (faculty) of literature,文学部
Bunji era (1185.8.14-1190.4.11),文治
Minister of Education, Science and Culture,文相
literary talent,文藻
clothing (e.g. kimono) decorated with one's family crest,紋付き
Rice Price Deliberative Council,米価審議会
stray (migratory) bird,迷鳥
boner,迷答
absurd opinion,迷論
fish served whole (complete with head and tail),御頭付き
crater wall,火口壁
(head priest of) Honganji (temple in Kyoto),門跡
portrait,姿絵
assistant instructor,師範代
slanted ladder (exercise equipment),階程
expiration of term of a vow,結願
assorted basket or box (e.g. of chocolates),詰め合せ
guardroom,詰所
composed shogi problem,詰将棋
stand-up collar,詰め襟
open shelves,開架
basis,開基
within an urban-prefecture,府下
worthless scholar,腐儒
check,符節
rich or poor harvest,豊凶
one's own country,邦家
fief,封地
convent,尼僧院
measure taken in haste,泥縄
two hundred,二〇〇
Japan and China,日華
diary,日記帳
First Sino-Japanese war (1894-1895),日清戦争
day labourer,日傭
Japanese banknote,日銀券
blinds,日覆
Russo-Japanese War (1904-5),日露戦争
(prescription for a) secret medicine,秘方
similitude,比況
equal,比倫
instrument of ratification,批准書
predicate,賓辞
amanuensis,筆生
literary style,筆致
(force of) brushwork,筆勢
monomaniac,偏執狂
wooden floor,板敷
(Japanese-style) dining table,飯台
cook,飯炊き
backbreaking exertions,煩労
complexity and simplicity,繁簡
order and chaos,治乱
opening ceremony (of the school term),始業式
testing ground,試験場
death poem (poem written during one's final moments),辞世
shop window,飾窓
scorched earth,焦土
anxiety,焦心
imminence,焦眉
scorching heat,焦熱
fall melancholy,秋思
melancholy air,愁眉
veterans,宿老
priest's quarters,宿坊
accommodation,宿所
coprostasis,宿便
veteran general,宿将
perennial plant,宿根草
camp,宿営
tramp,宿なし
hotel charges,宿賃
stage,宿駅
longstanding desire,宿願
splendid waka,秀歌
dissipation,酒色
PX,酒保
heavy drinker,酒家
merrymaking,酒盛
spirits of wine,酒精
compendium,提要
violin,提琴
legitimate birth,嫡出
right person,適材
the fit,適者
enemy side,敵方
great, unifying leader,征夷大将軍
clerk working for large temples and shrines,政所
political principle, policy or platform,政綱
to turn to account,役立てる
fire aboard ship,船火事
anchorage,舟つき場
plumb bob,鉛錘
water (hydraulic) pressure,水圧
water cooling,水冷
handwriting,水茎
container of fresh water for replenishing the kettle and rinsing bowls (tea ceremony),水指し
waterway,水脈
depth of water,水深
burial at sea,水葬
water department,水道局
surveyor's level,水準儀
hydroxyl group (radical),水酸基
accomplished woman painter,閨秀画家
variation,高下
upper grades of primary school (sixth, fifth, and sometimes fourth grades),高学年
pulpit,高座
High Court,高裁
broad (point of) view,高所
high speed,高速度
high rate,高率
old people,高齢者
synthetic detergent,合成洗剤
synthetic fibre,合繊
stately mansion,豪邸
government official,国家公務員
state examination,国家試験
school (of a provincial capital during the Xia, Shang and Zhou dynasties),国学
national armed forces,国軍
sovereign rights,国権
dictionary of a national language,国語辞典
JICA,国際協力事業団
international celebrity,国際人
UN,国際連合
conditions of a country,国情
daimyo who did not leave his domains to meet the shogun in Kyoto (during the Muromachi period),国人
(national) census,国勢調査
Committee of the National Diet,国対
(Japanese) National Land Agency,国土庁
state-supported provincial temple (Nara period),国分寺
Japanese literature,国文学
regional character,国柄
national health insurance,国民健康保険
nationality,国民性
citizens' livelihoods,国民生活
government pension system,国民年金
national theater,国立劇場
national museum,国立博物館
public opinion,国論
bony scale (of a fish),骨鱗
this season,今季
this school year,今年度
to compound,混ぜ合わす
left side (go, chess, othello board),左辺
stability,坐り
tear-inducing,催涙
redevelopment,再開発
seeing something in a new light,再認識
the worst,最下
MFN,最恵国
ultimatum,最後通牒
top class,最高級
Public Prosecutor's Office,最高検
very important point,最重点
front row,最前列
largest (number of),最多
oldest,最長
very warm reception,最優遇
MVP,最優秀選手
when,際して
overseas diplomatic establishment,在外公館
being in the capital (i.e. Tokyo, or formerly Kyoto),在京
residing in the United States,在米
FILP,財政投融資
to make bloom,咲かせる
rice-crop index,作況指数
planted area,作付面積
fall of last year,昨秋
previous year (fiscal, academic, etc.),昨年度
since last year,昨年来
printing,刷
third-order,３時
three parties,三者
three varieties,三種
third generation,三代
third (interval),３度
third magnitude star,３等星
three copies,３部
trilogy,三部作
mountain system,山系
hilly section of a city (e.g. Tokyo, Kobe, Yokohama),山手
countryside,山野
Sanyo district,山陽
the industrial world,産業界
products,産品
CIO,産別会議
output,産量
assent,賛意
remnant fort,残塁
judicial trial,司法裁判
bases on balls and pitches striking the batsmen,四死球
love-sickness,四百四病の外
child's part,子役
municipal road,市道
civil society,市民社会
to remember,思起す
(each) in one's own way,思い思い
to teach someone a lesson,思いしらせる
to call to mind,思い浮かべる
(educational) guidelines,指導要領
branch (office),支所
manager of a branch office,支店長
end,止まり
hopeless situation,死に体
injuries and deaths,死傷
one's own plan,私案
private enterprise,私企業
private university,私大
plainclothes police officer,私服
private document,私文書
in a letter,紙上
to finance,資する
Agency of Natural Resources and Energy,資源エネルギー庁
trophy given by the Emperor,賜杯
number of letters,字数
to raise someone's hopes,持たせる
one's (own) house,持家
taking turns,持回り
one's shares,持株
to take out (e.g. food),持帰る
strengthening under a seam (clothing),持出
special ability,持味
on occasions,時として
half past (the hour),時半
clinical trial,治験
investigational new drug,治験薬
Self-Defense Force official,自衛官
for private or home use,自家用
private automobile,自家用車
suicide,自決
owned capital,自己資本
right of self-government,自治権
one's own room,自室
self-reliance,自助
self-cleansing,自浄
automobile sales,自販
LDP,自民
freestyle (e.g. swimming event),自由型
free economy,自由経済
liberalism,自由主義
prepared,辞さない
(Meiji era) official responsible for court ceremonies,式部
executive committee,執行委員
careless pitch,失投
texture,質感
one's own child,実子
true,実勢
everyday life,実生活
actual fighting,実戦
fact-finding survey,実態調査
biological younger brother,実弟
photobook,写真集
social movement,社会運動
social education,社会教育
SOC,社会資本
social welfare service,社会事業
sociality,社会性
rehabilitation (in society),社会復帰
social insurance,社会保険
Social Insurance Agency,社会保険庁
social security,社会保障
social problem,社会問題
(company) announcement,社告
company funeral,社葬
on a train,車中
to be happy,釈然とする
restoration of youth,若返り
(Japanese) Tax Bureau,主税局
withdrawal,取下げ
dismantling,取毀し
to pull down,取毀す
techniques,取口
bank run,取付
recall,取返し
water intake,取水
control law,取締法
(being on the) defensive,守勢
one's hand (mahjong, card games, etc.),手のうち
killing with bare hands,手打ち
in one's control,手中
openly (saying),手離し
tax on alcohol,酒税
liquor trade,酒販
governing body,主脳部
submissive partner of a homosexual relationship,承け
receiving payments (pension, ration),受給
seeing a doctor,受診
award ceremony,受賞式
state government,州政府
master's course,修士課程
excellent (piece of) work,秀作
autumn season,秋季
post-,終了後
within the week,週内
early next week,週あけ
gathering,集結
collection (gathering) and distribution,集散
culmination (of hard work),集大成
severe rain fall,集中豪雨
vote-counting,集票
splitting lengthwise,縦割り
stress,重き
heavy additional tax(ation),重加算税
multilayered,重層
serious,重度
movement (of the body),熟し
entry in a race,出走
essay on tanka poetry,歌論
ornamental plant,花卉
male dog,雄犬
the Greater Dog,おおいぬ座
the Lesser Dog,小犬座
male cat,牡猫
to settle,取纏める
primer,手引き書
alcohol-selling shop,酒店
nonbank banking,阿爾及
Libya,利比亜
parasitic plant,寄生木
clogs,木靴
nuts,聖ニコラス
padding,詰物
motor race,キャンプ場
disk controller,三日月形
rapid succession (e.g. questions),矢つぎばや
pretty,小ぎれい
self-existence,自存
counter for houses, households, apartments, etc.,戸
paper for recycling,故紙
launcher,蛙又
permeation,滲入
Supreme Court,最高裁判所
to become discoloured,赤茶ける
active sonar,赤味がかった
rising,御昼
to become still as death,静まりかえる
small intestine,小腸
advocacy,唱導
party,招宴
slight damage,小破
prize cup,賞杯
officers and men,将兵
brief foreword,小引
trifle,小事
degaussing,消磁
letter of introduction,紹介状
digestive organs,消化器
small radius,小逕
rest,少憩
methane,沼気
sideboard,食器棚
first-proof sheets,初校
passage,章句
vocation,職分
place of one's work,職域
carnivores (i.e. animals of the order Carnivora),食肉類
enhancement of one's fortune,殖産
vegetation,植生
responsibilities pertaining to one's work,職責
function,職掌
occupational category,職種
birth and death,生滅
heat of summer,暑熱
(your) reading (of my work),笑覧
reading extensively,渉猟
reduction of labor,省力
labour saving,省力化
pamphlet,小冊子
chapter and verse,章節
small shrine,小社
short or concise history,小史
lower middle class,小市民
illegitimate birth,庶出
insider,消息通
commander,将帥
gunpowder,硝薬
minor premise,小前提
(in one's) possession,所蔵
marriage ceremony,祝言
gleanings,拾遺
collection of freight,集貨
usage,習俗
inheritance,相伝
(my) humble abode,草堂
(book) illustration,挿画
appeal,訴願
product,相乗積
coarse silk,素絹
range finder,測距儀
raw ore,粗鉱
crude steel,粗鋼
stable (market) after having bottomed out,底堅い
(your, his, her) daughter,息女
(depth) sounding,測深
grand scheme,壮挙
sparse woods,疎林
crude manufacture,粗製
early death,早逝
frost and snow,霜雪
longstanding desire or goal,素志
mutual love,相思
personal accessories (ornaments, adornments),装身具
mutual love,相思相愛
soiling oneself,麁相
inauguration,草創
hydrophobic,疏水
young man who has reached adulthood (conscription age),壮丁
spring sky,蒼天
ambitious undertaking,壮途
grand scheme,壮図
premature birth,早産
water pollution,水質汚濁
destitute,素寒貧
to be fond of,好きこのむ
Jesus Christ,救い主
hysterical,素っ頓狂
plural equation,多元方程式
voluntary privation,耐乏
dangerous disease,大病
charged body,帯電体
great wisdom,大悟
unsold inventory,滞貨
gross mistake,大過
person of great talent,大器
general features,大綱
remaining airborne,滞空
durable (consumer) goods,耐久消費財
waiting for orders,待命
sojourn,滞留
large or bulky book or volume,大冊
decay,頽勢
Prince Shōtoku,太子
glutton,大食漢
redundancy payment,退職金
waterproof,耐水
wearing a sword,帯刀
grand climacteric,大厄
solar system,太陽系
solar year,太陽年
(having) many worries and regrets,多情多恨
to beat fast,高鳴る
farsighted view,達観
fruit (e.g. of one's efforts),賜
protection (or charm) against bullets,弾よけ
to flow (e.g. of hair in the wind),棚曳く
bird-watching,探鳥
coal field,炭田
day and night,旦夕
brief message,短信
sightseeing,探勝
searchlight,探照燈
freshwater lake,淡水湖
polytheism,多神教
pressure of business,多端
(weaving) warp,経
perspicuity,達意
one's reputation,立つ瀬
basis,低辺
orientation,定位
base angle,底角
conclusion of a treaty of alliance,締盟
undercurrent,底流
volunteering,挺身
laying a cornerstone (foundation stone),定礎
established rule,定則
removing superfluous fruit,摘果
involvement,纏綿
malleability,展性
postscript,添書
foot-binding,纒足
stencil pen,鉄筆
ritual visits to a temple,寺参り
cableway,鉄索
steel or iron dome,鉄傘
railroad system,鉄道網
iron blue,鉄色
philosophy,哲理
secretly felling trees,盗伐
here,当地
lighthouse keeper,灯台守
justice,当否
sugar-coated pill,糖衣錠
to set free,解き放す
bargain price,特価
special favor or benefit,特恵
goodness,徳行
everlasting summer,常夏
no matter where,所嫌わず
bedsore,床擦れ
entering priesthood,得度
sincerity,徳義
exclusive photographing (e.g. for a magazine),特写
special quality, class or grade,特等
neighbourhood,隣近所
return call,答礼
person of one's recommendation,桃李
birdcage,鳥篭
the authorities,当路
these days,当節
(lamp) wick,燈芯
uniform excellence,粒揃い
penalty,追徴金
reminiscence,追懐
addition (esp. of data, information),追記
adulation,追従
grip,摑み所
taking (as much as one can hold) by the hand,掴み取り
to pluck the strings (of a guitar),爪弾く
to stand on tiptoe,爪立つ
to roll between the thumb and the fingers,爪繰る
plucky countenance,面魂
first cry of a newborn baby,うぶ声
one's first battle,初陣
creator,産みの親
favourite,売れっ妓
proceeds,売り上げ高
art of selling,売方
oval face (e.g. of a beautiful woman),瓜実顔
singer,歌い手
young buds,若芽
confusion,惑乱
cotton ginning,綿繰り
effect of a medicine,薬効
reduction (of a fraction to its lowest terms),約分
chemist,薬舗
medicine chest (container),薬籠
turning point,山場
mountain village,山里
soft fair skin,柔肌
nutrient,養分
important talk,要談
positive electricity,陽電気
key position,要害
parasol,洋傘
counter-attack,要撃
petiole,葉柄
haberdashery,洋品
Hesperus,宵の明星
offshore,洋上
store operated by a foreigner (in pre-communist China),洋行
veins of a leaf,葉脈
cradle,揺籃
handbook,要覧
solar calendar,陽暦
the authorities,要路
someone to depend on,寄る方
outline,要略
lifting power,揚力
key point,要衝
amniotic fluid,羊水
photograph size 254mm x 305 mm,四切り
lattice fence,四つ目垣
simmering,弱火
to be helpless,弱り果てる
subsistence,世渡り
remoteness,悠遠
snowfall,雪降り
spray of snow (smoke-like),雪煙
removing snow from the roof of a house,雪おろし
organism,有機体
pipe dream,夢物語
the unemployed,遊民
free radical,遊離基
unwavering,揺るぎない
man of importance,有力者
picnic,遊山
bourgeoisie,有産階級
manliness,雄性
postal system,郵政
planet,遊星
mail boat,郵船
grand project,雄図
sitting and lying down,座臥
person of wealth,財産家
balance (of an account),残額
lingering snow,残雪
decapitated head,斬首
pocket (of resistance),残党
mountain top,禅定
one's best,全身全霊
frontal lobe,前頭葉
eloquence,舌鋒
cancer of the tongue,舌ガン
lingual sound,舌音
way of talking,舌端
way of talking,舌頭
Maker,造物主
erection,造営
increased (profit),増益
inlaying,象眼
manufacture of arms,造兵
mintage,造幣
raise,増俸
one's library,蔵本
artificial flower making,造花
scholarship,造詣
haematosis,造血
traitors,賊徒
shipbuilding yard,造船所
message appended to a note accompanying a gift, requesting the recipient to keep the gift at hand,恵存
cordial relations,莫逆
being free of earthly attachments,無一物
boundless,無辺際
place of attack,攻め口
empty words,空念仏
(hot springs resort) guest,浴客
paddy administered directly by a ruler,公田
anticipation,胸算用
breast,胸くそ
gold mine,金山
having no communication with,音信不通
desk clerk,応接係
tearful face,泣きっ面
last month,客月
predicate,客語
age at one's death,行年
one's route,行掛
(another's respected) father,父御
fatherless child,父無し子
hasty conclusion,一人合点
wife (esp. of a prominent, recently married man),ご新造
headhunting,首狩り
dragnet,手繰り
(taking) best care,専一
snooze,仮寝
drag,足手纒い
person with eccentric tastes,茶人
chat over tea,茶話
being concerned about or mindful of,頓着
antipodes,対蹠地
governing by law and reason rather than by military force,文治主義
corruption (e.g. of public morals),びん乱
this lady,此の方
we,此の方
checkroom,一時預所
in twos,二つあて
isosceles triangle,等辺三角形
Akita (dog breed),秋田犬
innkeeper,宿主
binge drinking,酒びたり
drunken behaviour,酒癖
enemy's strength or fighting power,敵勢
moonlight evening,夕月夜
back-carry throw,背負い投げ
slash-and-burn farming,焼畑
small number of people,小人数
sister-in-law,小姑
extracting from or excerpting (a classic),抄物
rich,有徳
being well-versed in usages or practices of the court or military households,有識
provincial capital,国府
mistress,情人
starry night,星月夜
grumbling or mumbling to oneself,壁訴訟
coexistence,並存
fame and fortune,名利
holdover,残存者
speculative spirit,山気
delicate,言難い
go player,棋客
cormorant fisherman,鵜匠
yell which opens a battle,矢叫び
brave woman,女丈夫
lady-in-waiting,女官
court lady,女御
boy in a homosexual relationship (with a man),若衆
geothermal electric power generation,地熱発電
powerful person,盛者
trip to the West,西遊
crotchet,四分音符
Umbonium costatum (species of sea snail),喜佐古
umpire,審判員
(dental) crown,継歯
(artistic portrait of a) lion,唐獅子
uptrend,上り調子
birth registration,出生届
matchless,稀代
joint signatures,連判
written appeal to a superior,告文
very auspicious day for all types of occasions (one of the six special days in the Japanese lunisolar calendar),大安吉日
large build,大兵
bigwig,大所
high treason,大逆
powerful technique,大業
large number of people,多人数
type of song which spread from mountain hermits to the laity during the Kamakura era,祭文
conviction,心算
all night,長夜
bookkeeper,帳付け
sky on New Year's morning,初空
tone of voice,声音
kausidya,懈怠
winter,玄冬
combined cargo and passenger ship,貨客船
mucus gland,粘液分泌腺
external secretion,外分泌
about eight-tenths full,目八分
high-pitched voice,高声
driving rain,雨風
place where raindrops fall from the eaves,雨落ち
threat of rain,雨催い
theatrical,芝居気
dogsbody,使い走り
childhood name,幼名
unfairness,依估
shutting one's eyes (to),頰冠り
trash,選り屑
jumping spider,蠅取
living things,生類
gravity,軽重
obstinate,難治
quicksand,流砂
curious,好事
white sand,白沙
hoarse voice (caused by a cold),風邪声
waiting for favourable wind,風待ち
wind god,風神
windbreak,風よけ
steps down (from a bus, etc.),下口
to cling to,纒わり付く
notice,届書
perception of the evanescence of life,無常観
oral drill,口慣らし
oscillator,発振器
lubrication,減磨
tacitly,暗暗裡
stretching of cloth,布引
a nest of sake cups,組み盃
medley of (Japanese) songs,組み唄
trouble,手間隙
lust,獣慾
revere the Emperor, expel the (Western) barbarians,尊王攘夷
registered,登録済
speculation,射倖
unmarried woman who owns (the future rights to) a home,家付娘
lonely,もの淋しい
pile,棒杭
rough age,年格好
Japanese freshwater crab (Geothelphusa dehaani),沢蟹
mass production of inferior goods,粗製濫造
arrow feathers,矢羽根
revolutionary song,革命歌
revolutionary,革命家
rough skin (like that of a shark),鮫膚
bedroom theft or thief,枕探し
meeting place for assignations, drinking, etc.,待合い
barstool,止木
chant,朗誦
the moment two persons or objects meet,出会頭
sunken kotatsu,掘火燵
(person treated as a) plaything,慰み者
plaything,慰み物
variety of goldfish,蘭鋳
hidden picture puzzle,絵探し
prostate orgasm,瓊脂
tachycardia,心悸亢進
long-tailed fowl (variety of chicken),長尾鳥
hydrophone,聴音機
plunder,奪略
bridge pillar,橋杭
temple elementary school (during the Edo period),寺小屋
hackneyed,聞き旧した
aerodynamic shape,流線型
egg soup,掻き卵汁
masterpiece,雄篇
praise,歎称
suspenders,靴下留
to become accustomed to people,人馴れる
to become worldly or sophisticated,世馴れる
to replace,差換える
to accept an object and hold it reverently over one's head,押し戴く
to get used to hearing,聞馴れる
to lag behind,立ち遅れる
space science,宇宙科学
closed season for fishing or hunting,禁猟期
interview,口頭試問
proofreading and annotation,校註
string made from twisted paper,紙捻
(translucent) aqueous solution,水溶液
town administration,町政
retreat,転針
sad circumstances,悲況
sashimi prepared from live fish, arranged in its original shape,生作り
live fish and shellfish (kept in a tank in a restaurant),生け魚
something masterfully controlled,燻銀
to lay (an egg),生み落す
contrition,悔悛
plank path,桟
soup made with sake lees,かす汁
stubborn,金槌頭
night watchman,鉄棒引き
wine tasting,唎酒
ore,銀鉱
my humble opinion,愚案
talking big,広言
person shamed in front of others,曝し者
conté,小篇
chanting the name of the Buddha,唱名
newly returned,新撰
summary judgement,即決
(light) pink,褪紅色
absolutely,断断乎
opportunity to continue a conversation,継穂
to stay (e.g. in the office),貼付く
helix,耳輪
quiet thought,黙念
semaphore,腕木
contest (of strength or skill),腕比べ
pride in one's strength or skill,腕自慢
strong-arm,腕尽
using one's arms as a pillow,腕枕
wrestling relying on brute strength (of the arms), rather than skill,腕ずもう
rolling up one's sleeves,腕捲り
swinging from branch to branch,腕渡り
physical strength,腕っぷし
bracelet,腕飾
grudging look,怨色
(deeply held) resentment,怨嗟
direct sale by the producer,元売
principal (e.g. in a loan),元高
ledger balance,元帳残高
original song,元歌
prime contractor,元請
perfect tense,完了時制
complete set (of books),完本
perfectionism,完全主義
full employment,完全雇用
full payment or delivery,完納
concluding part,完結編
nosocomial infection,院内感染
head of a temple,院主
nonparliamentary party association,院外団
legislative decision,院議
enjoyment,翫味
helpless,頑是ない
obstinate and foolish,頑愚
sports competition sponsored by a business enterprise,冠大会
coronary artery,冠状動脈
coronary thrombosis,冠状動脈血栓症
coronary vein,冠状静脈
becoming topped with snow,冠雪
ticket-vending machine,券売機
ringlet,巻毛
rolling one's r's,巻舌
hunt (where the hunting area is surrounded on four sides by hunters),巻狩
beginning (of a scroll, book, etc.),巻首
roll of paper,巻き紙
(center portion of a) scroll (centre),巻軸
round haul net,巻網
cirrocumulus cloud,絹積雲
makizushi,巻き鮨
fist,拳固
officialdom,官公吏
official seal,官印
governmental,官立
state-owned,官有
official position or title,官名
government school,官学
government funds,官金
government-regulated organization or facility, etc. (organisation),官制
Chinese textbook (published by the Edo shogunate),官板
government (office),官府
rules which officials must follow,官紀
loyalist army,官軍
sensualism,官能主義
sensualist,官能主義者
government employ,官途
governmentally or nationally established or run,官設
statism,官尊民卑
government management,官営
government issue,官給
government-issued goods,官給品
official rank,官等
studying abroad at government expense,官費留学
student studying abroad at government expense,官費留学生
government-run enterprise,官業
bureaucrat,官僚主義者
bureaucratic government,官僚政治
official demand,官需
governmental authority,官権
government-appointed,官選
administrator,管財人
(person in) control,管領
jurisdictional dispute,管轄争い
(have) jurisdiction over,管轄権
sedge-woven (bamboo) hat,菅笠
manager,館主
off the premises,館外
gardening tools,園芸用具
horticulture,園芸学
horticulturist,園芸家
refund,還付金
tax refund,還付税
Pacific Rim,環太平洋
Ring of Fire,環太平洋火山帯
circum-Pacific orogeny,環太平洋造山帯
Pacific Rim concept,環太平洋構想
Pacific Rim nations,環太平洋諸国
looking about,環視
environmental pollution,環境汚染
environmental protection,環境保護
environmentalism,環境保護主義
environmentalist,環境保護主義者
environmental destruction,環境破壊
swirl,渦巻形
spiral pattern,渦巻模様
lingering recession,鍋底
kitchen utensils,鍋釜
soot on the bottom of a pot or pan,鍋墨
fruit grower,果樹栽培者
distribution of assignments,課役
nuclear physicist,原子物理学者
unpolished gemstone,原石
original melody,原曲
starting point,原初
basis,原拠
positive grade,原級
atomic bomb victim,原爆犠牲者
(one's) domicile,原籍地
income tax withheld at the source,源泉所得税
tax withholding at the source,源泉徴収
tax withholding at the source,源泉課税
refusing,願い下げ
person who prays,願い主
amphitheatre,円形劇場
referral to a committee,委員付託
atrophy,萎縮症
contracted kidney,萎縮腎
dwarf,矮人
dwarf star,わい星
low or short tree,矮樹
back-fence,垣根越し
sales copy,宣伝文句
propaganda value,宣伝価値
impact of publicity or propaganda,宣伝効果
propaganda film,宣伝映画
one skilled at obtaining publicity,宣伝屋
publicity article,宣伝記事
propagandist,宣伝員
publicity or advertising expenses,宣伝費
propaganda war,宣伝戦
publicity arm or organ,宣伝機関
(written) declaration,宣言書
(written) judgement or verdict (judgment),宣告書
promotion,宣揚
proclamation of war,宣戦布告
administration of an oath,宣誓式
affidavit,宣誓供述書
(written) oath,宣誓書
whole dried daikon,丸干し
log,丸太ん棒
log,丸材
peace overture,和平工作
peace conference,和平会議
Japanese-made kanji,倭字
(consensual) sexual intercourse,和姦
book bound in the Japanese style,和書
Japanese-style ship,和船
Japan and China,和漢
peace,和戦
the Japanese spirit imbued with Chinese learning,和魂漢才
friendship,和親
peace negotiations,和議
science museum,科学博物館
Gulf War (1990-1991),湾岸戦争
the Gulf Stream,湾流
bay shore,湾頭
silk spinning,絹糸紡績
silk goods,絹物
picture on silk,絹絵
straining through silk cloth,絹漉し
sanitary,衛生上
sanitary engineering,衛生工学
medic,衛生兵
hygienics,衛生学
medical corps,衛生隊
sanitary facilities,衛生設備
sanitation,衛生管理
satellite transmission,衛星中継
satellite state,衛星国
satellite communication,衛星通信
satellite town,衛星都市
middleman,斡旋者
settlement proposal,斡旋案
mediator,あっせん業者
watering (plants),灌水
shrub,かん木
irrigation water,潅漑用水
meaningless existence,瓦全
tile kiln,瓦屋
tiled roof,瓦屋根
tile-roofed house,瓦家
tile-roofing,瓦葺
origin,淵源
centre,淵藪
people who have no kith or kin,鰥寡孤独
military pension,軍人恩給
soldier's socks,軍足
military regime,軍事政権
military blockade,軍事封鎖
military assistance,軍事援助
military demarcation line,軍事境界線
military satellite,軍事衛星
military assistance advisory group,軍事顧問団
