ditto,同断
undergarment designed to soak up sweat,汗袗
a sweating horse,汗馬
building's,軒丈
height from the ground to a building's eaves,軒丈
house to house,軒別
edge of the eaves,軒端
constructing,建売
ready-built,建売
constructing and selling a ready-built house,建売
built-for-sale,建売り住宅
built-for-sale house,建売り住宅
National Foundation Day,建国記念日
cabinetmaker,建具屋
construction business,建設業
an annex,建て増し
set net,立て網
registered architect,建築士
building area,建築面積
Standards,建築基準法
Building Standards Act,建築基準法
construction costs,建築費
site coverage,建坪率
proposer,提出者
a proposer,建議者
Health Insurance Act,健康保険法
latchkey,鍵っ子
latchkey child,鍵っ子
keys,鍵束
bunch of keys,鍵束
rubdown,乾布摩擦
rubdown with a dry towel,乾布摩擦
without using water,乾式
dry-bulb,乾湿球湿度計
wet and dry-bulb thermometer,乾湿球湿度計
of some sort,何等か
handling of freight,荷扱い
a lighter,荷足り船
delivery of freight or goods,荷渡し
landing charges,荷揚げ料
charged particle,荷電粒子
packsaddle,荷鞍
swimming in the middle of winter or the cold season,寒中水泳
a winter month,寒月
a cold air mass,寒気団
cold colour,寒色
winter spiritual austerities,寒行
Chimonobambusa,寒竹
marmorea,寒竹
marbled bamboo (Chimonobambusa marmorea),寒竹
cold front,寒冷前線
cheesecloth,寒冷紗
egg laid in winter,寒卵
winter visit to a shrine,寒参り
cold-water ablutions performed in winter,寒垢離
the beginning of spring,寒明け
winter manure,寒肥
cold points (of the skin),寒点
early plum blossoms,寒梅
exposure to cold,寒晒し
winter chrysanthemum (cultivar of Chrysanthemum indicum),寒菊
a place of extreme cold,寒極
camellia-like,寒椿
camellia-like plant native to China,寒椿
(degree of) temperature,寒暖
mochi made in winter,寒餅
mid-winter,寒稽古
mid-winter training,寒稽古
complimentary copy of a book,献本
list of meals (e.g. for the week),献立表
votive lantern in a shrine or temple,献灯
a blood drive,献血運動
offering a drink,献盃
offering (to a shogun, emperor
contribution or donation box,献金箱
tea offering to the gods,献茶
an offering,献納品
poem offering,献詠
food offering to the gods,献饌
Chinese person (esp. Han Chinese),漢人
doctor of Chinese (herbal) medicine,漢方医
recognized,漢字制限
recognised,漢字制限
restrictions on the number of kanji recognized for usage (recognised),漢字制限
study of China or of the Chinese classics,漢学
scholar of the Chinese classics,漢学者
book written in Chinese,漢書
Han people,漢族
translation into Japanese using kanji,漢訳
numerals,漢数字
kanji numerals,漢数字
equestrian people,騎馬民族
restraints,羈束
smoking carriage,喫煙車
compartment,喫煙室
smoking compartment,喫煙室
exigent,吃緊
infanticide,間びき
curtailed transit schedule,間引き運転
paramour (of a married woman),間夫
geyser,間けつ泉
an intermittent fever,間けつ熱
compound colour,間色
intercropping,相作
a foolish or stupid look,間抜け面
indirect lighting,間接照明
narration,間接話法
indirect narration,間接話法
fluoroscopy,間接撮影
fluoroscopy (method),間接撮影法
indirect election,間接選挙
diencephalon,間脳
the diencephalon,間脳
being liable to criticism,間然
in long intervals,間遠
hot temper,疳性
bang,癇癪玉
bang snap,癇癪玉
hot-tempered,かんしゃく持ち
hot-tempered person,かんしゃく持ち
lunch counter,簡易食堂
summary court,簡易裁判所
lightweight,簡単服
simple or lightweight clothing,簡単服
person who looks after a patient,介護人
mustard greens,芥菜
vegetables pickled in mustard,芥子漬け
boundary mark (on land or water),界標
bargain or clearance goods (esp. of imperfect produce),見切り品
specimen page,見本組み
bookholder,見台
way of looking (at),見る目
off the point,見当ちがい
patrolman,見廻り
easy to see,見良い
outward show,見て呉れ
observation tour,見学旅行
collateral (goods),見返り物資
counterpart,見返り資金
collateral or counterpart fund,見返り資金
being well-known to,見知り越し
something worth seeing,見もの
a place or opportunity to make a display of,見せ所
judging,見た所
judging from appearances,見た所
displaying money (to prove that one actually has it),見せ金
beatific,見神
beatific vision,見神
looking the other way,見て見ぬ振り
fee for having one's fortune told,見料
watchhouse,見張所
easy virtue,見ず転
mistaking for,見違い
the three wise monkeys,見猿聞か猿言わ猿
way of seeing,見様
sympathy letter,見舞い状
solatium,見舞い金
goods offered to a person in distress,見舞い品
the present (day or age),現今
modernistic,現代的
modern Japanese,現代語
present post,現任
on-the-spot report,現地報告
present perfect tense,現在完了
amount on hand,現高
laws in force,現行法
current strength,現有勢力
a realist,現実主義者
sense of reality,現実感
spot quotations,現物相場
salary paid in kind,現物給与
cash sales,現金売り
registered mail for the purpose of sending money,現金書留
purchases,現金買い
cash purchases,現金買い
transporting,現送
sending or transporting cash,現送
present members,現員
phenomenology,現象学
the phenomenal world,現象界
phenomenalism,現象論
on-the-spot broadcast,現場中継
on-the-site,現場検証
on-the-site inspection,現場検証
outside worker,現業員
present or actual strength,現勢
present number,現数
developing solution,現像液
just sharpened,研ぎ立て
student (of),研究家
sharpening,研ぎ物
polisher,研ぎ物師
sharpener (of swords) and polisher (of mirrors),研ぎ師
training institute,研修所
abrasives,研磨材
sandpaper,研磨紙
shoulder tuck,肩揚
pressuring,肩叩き
pressuring someone to resign,肩叩き
shoulders and elbows,肩肱
personal care attendant,看護人
discounted,割引手形
discounted bill,割引手形
discount market,割引市場
discount rate,割引歩合
discount issue,割引発行
reduced rate hours,割引時間
additional freight,割増運賃
extra pay,割増賃金
instalment plan,割賦方式
selling in instalments,割賦販売
buying in instalments,割賦購買
watering (potted plants, bonsai
brothel madam,遣り手婆
being worth doing,遣り甲斐
dispose,遣り場
place to dispose of something,遣り場
demonstrating,顕正
revealing or demonstrating the truth,顕正
of great prominence or dignity,顕要
exalting,顕揚
manifest,顕然
wavemeter,周波計
frequency converter,周波数変換装置
frequency shift,周波数偏移
periodic law,周期律
Chisel,彫刻具座
the Chisel,彫刻具座
Sculptor,彫刻室座
Sculptor (constellation),彫刻室座
tattooist,彫り物師
being out of tune,調子はずれ
key signature,調号
palette,調色板
belt pulley,調べ車
investigated,調べ物
matter to be checked or investigated,調べ物
piano tuner,調律師
(machine) belt,調べ革
trainer,調教師
animal trainer,調教師
horse trainer,調馬師
paddock,調馬場
an arbitration committee,調停委員会
court arbitration,調停裁判
working surface,調理台
qualified cook,調理師
cooking utensil,調理器具
barbering,調髪
laying low, awaiting one's chance
smelling of (stale) liquor,熟柿臭い
sound sleep,熟眠
scrutinising,熟視
careful consultation,熟談
careful deliberation,熟議
kaoline,陶土
china,陶器商
china shop,陶器商
current of the times,濤濤
thresher,稲扱き
rice thresher,稲扱き
roofed mud wall,築墻
landscape gardening,築庭
exemplary farmer,篤農
an accommodation bill,融通手形
the heat of fusion,融解熱
surviving on rice gruel,粥腹
disgraceful state of affairs,醜状
evil-doers,醜類
loyalty and goodness,忠良
loyalty to one's ruler,忠君
loyalty and patriotism,忠君愛国
(good) advice,忠言
loyalty and bravery,忠勇
sincerity and consideration,忠恕
loyal deed,忠義立て
the loyal dead,忠霊
monument to the faithful who died in battle,忠霊塔
hemlock,毒ニンジン
poison hemlock,毒ニンジン
underhanded,毒手
a dirty or underhanded trick,毒手
poisonous insect,毒虫
toxicology,毒物学
poisoned alcohol,毒酒
protection against poison,毒よけ
she-devil,毒婦
poisonous fish,毒魚
(wielding a) vicious or poison pen,毒筆
wolf spider,毒ぐも
poison gland,毒腺
poisonous moth,毒蛾
couple walking together,鋳掛
tinkerer,鋳掛屋
freshly pounded (rice cake),搗き立て
pounding,搗き臼
mortar (for pounding rice),搗き臼
private-sector,居士
private-sector scholar,居士
while sitting by,坐ら
iai,居合抜
sword-drawing,居合抜
iai sword-drawing performance (used during the Edo period to sell medicine and other wares),居合抜
sits,居住い
way one sits,居住い
housing standards,居住水準
right of residence (i.e. right to go on leasing a house, etc.)
castle of a feudal lord,居城
eighteen-day-old,居待ち
(according to the lunar calendar) an eighteen-day-old moon,居待ち
falling asleep at the wheel,居眠り運転
refusal to leave,居催促
deferred savings,据え置き貯金
period of deferment,据え置き期間
trimming hair,裾刈り
lining at the bottom of a kimono,裾回し
half-slip, worn under kimono
underskirt (half-slip), worn under kimono
encompassing circle,すそ野
kimono with design on the skirt,裾模様
saw shark (esp. the Japanese saw shark, Prietiophorus japonicus)
nutcrackers,くるみ割り
pepper shaker,コショウ入れ
middle of a lake,湖心
bottom of a lake,湖底
lakeside,湖岸
glossing,糊塗
glossing over,糊塗
provisional execution,仮執行
costume,仮装行列
costume parade,仮装行列
hypothetical,仮想敵国
hypothetical or imaginary enemy,仮想敵国
tentative title,仮題
one's leisure hours,暇々
Jezo,蝦夷松
spruce,蝦夷松
Jezo spruce,蝦夷松
annual aster,蝦夷菊
stooped,海老腰
being stooped over,海老腰
coin purse (with clasp),がま口
soaproot,霞草
mist net (fine mesh for capturing small birds),霞網
adherents,家子郎党
household or cottage industry,家内工業
one's father,家父
attached or belonging to a house,家付き
housebreaking,家宅侵入罪
search warrant,家宅捜索令状
family tree,家系図
household articles,家庭用品
familial,家庭的
housedress,家庭着
house or housing registry,家屋台帳
house tax,家屋税
messuage,家屋敷
domestic science,家政学
a home economics course,家政科
Culex,家蚊
house mosquito (genus Culex),家蚊
a family allowance,家族手当
a family system,家族制度
law governing rights within families,家族法
hereditary stipend,家禄
government-backed,家塾
government-backed school operated by a scholar out of his home,家塾
style of a house,家構え
house fly,家蝿
wedding preparations,嫁入り支度
trousseau,嫁入り道具
workforce,稼働人口
uptime,稼動時間
virgin soil,処女地
debut work,処女作
untrodden,処女峰
untrodden peak,処女峰
maiden voyage,処女航海
conduct of one's life,処世
carrying out a sentence (e.g. execution),処断
cartman,車力
cartwright,車大工
rickshaw man,俥夫
a well equipped with a pulley for drawing water,車井戸
honorarium,車代
bike-race,車券
bike-race (betting) ticket,車券
horses and vehicles,車馬
distance between two cars,車間距離
cartage,車賃
cartage fee,車賃
water treatment,下水処理
working-class,下町言葉
working-class accent or dialect,下町言葉
seasoning of food,下味
preliminary washing,下洗い
substructure,下部構造
conveyance of the views of those below to those at the top,下意上達
residential building in which the first floor is occupied by businesses,下駄履き住宅
preparatory activity,下慣らし
subcontracting factory,下請け工場
value judgment,価値判断
price stabilisation,価格安定
price-maintenance,価格協定
price-maintenance agreement,価格協定
fluctuations,価格変動
price fluctuations,価格変動
price controls,価格統制
price fixing,価格操作
crops planted in summer,夏作
summer fever,夏季熱
summer flu,夏風邪
a bird of summer,夏鳥
titled,王侯貴族
royalty and titled nobility,王侯貴族
(in English history) the Restoration,王政復古
monarchists,王党
the theory of the divine right of kings,王権神授説
(Edo-period) humorous literature,狂文
type of comic haiku,狂句
pseudocide,狂言自殺
major supporting role,狂言廻し
a fanatic,狂者
raging wind,狂風
(Edo-period) type of humorous poem,狂詩
disgraceful behaviour,狂態
raging waves,狂瀾
knowing when to give up,往生際
return ticket,往復切符
postcard with a reply card attached,往復葉書
the (deceased) father of the current emperor,皇考
imperial ancestors,皇宗
(Japanese) Imperial Army,皇軍
Imperial House Act,皇室典範
the Imperial Household expenses,皇室費
(divine, historical or legendary) founder of an empire
the Imperial Palace,皇宮
the imperial line,皇統
shrine of imperial ancestors,皇霊殿
(artistic) golden section,黄金分割
turning yellow,黄変
Japanese wax tree,黄櫨の木
shallow bowl for displaying arranged flowers,広口
a (wide) main street,広小路
effectiveness of advertising,広告効果
advertising rates,広告料
advertising media,広告媒体
advertising expenses,広告費
the advertising industry,広告業
wide plain or field,曠原
public relations section or department,広報部
double width cloth or fabric,広幅
broad-hearted,広量
vastness,宏濶
reproduction on an enlarged or expanded scale,拡大再生産
expanding,拡大均衡
an expanded or expanding equilibrium,拡大均衡
stocky,横太り
swaggering,横行闊歩
toppling sideways,横倒し
sitting with one's legs out to one side,横坐り
bubo,横根
bubo (inflamed swelling in a gland),横根
illogically,横紙破り
acting illogically,横紙破り
striated,横紋筋
striated muscle,横紋筋
(transverse) cross section,横断面
horizontal typesetting,横組み
horizontal bar,横棒
bank of clouds,横雲
binding a book in an oblong shape,横綴じ
mineral water,鉱水
mine pollution,鉱毒
mineral oil,鉱油
mineral resources,鉱物資源
mineral matter,鉱物質
pollution or environmental damage due to mining,鉱害
magnet,永久磁石
permanent magnet,永久磁石
the right to tenant farm in perpetuity,永小作権
swimmer,泳者
a swimmer,泳者
historical poem or epic,詠史
illuminating,光力
the intensity or illuminating power of light,光力
photochemical reaction,光化学反応
beam of light,光芒
optical instrument,光学器械
optical microscope,光学顕微鏡
luminous point,光点
photometer,光度計
photic,光覚
optic or photic sense,光覚
photoelectric tube,光電管
ray gun (in science fiction),光線銃
phototherapy,光線療法
nimbus,光輪
luminous moss,光蘚
schooner,幌馬車
prairie schooner,幌馬車
defer to another as if an older brother,兄事
dark (e.g. story),心気くさい
Magnolia,辛夷
kobus,辛夷
Magnolia kobus,辛夷
rookie-of-the-year,新人王
1615,新刀
sword made after the year 1615,新刀
a new phase or aspect,新生面
the new left (school of thought),新左翼
shinjitai,新字体
wasteland or marshland newly reclaimed as a rice field (Edo period),新田
newly-acquired,新地
newly-acquired territory,新地
newly arrived,新来
conscript,新兵
university (operated under post-war guidelines),新制大学
high school (operated under post-war guidelines),新制高校
junior high school (operated under post-war guidelines),新制中学
new drama,新派
new item,新品
as good as new,新品同様
new pattern,新柄
new administration,新政
a new edition,新修
new brew of sake,新酒
patent on a new device,新案特許
17x11,新書
17x11 cm paperback book,新書
Protestant,新教徒
a Protestant,新教徒
young prostitute who has just started working (as an assistant to an older prostitute),新造
new interpretation,新釈
new road,新道
opening (of uncultivated land),新開
the Gregorian calendar,新暦
new grain,新穀
Japan's press code (developed in 1946),新聞倫理綱領
the newspaper industry,新聞業
news source or topic,新聞種
new-drama,新劇
new-drama (movement),新劇
developing nation,新興国
new religion,新興宗教
new drug,新薬
extension phone (and its main line),親子電話
kanji corresponding to furigana,親文字
root stock,親木
Japanophile,親日家
attitude of those who assume their jobs are safe because they are government employees,親方日の丸
parental,親心
parental love or affection,親心
(one acting as a) foster parent,親代り
one's relatives,親兄弟
investing,親任式
investing of an official appointed by the Emperor,親任式
official appointed by the Emperor,親任官
the home of one's parents,親里
criminal complaint filed by the victim of the crime,親告
prosecute,親告罪
offense requiring a formal complaint in order to prosecute,親告罪
coming into close contact and being influenced by,親炙
main pillar,親柱
love or affection for one's parents,親思い
outer frame of a lattice door,親骨
autograph letter,親書
degree of intimacy,親疎
rites conducted by the emperor,親祭
parent bird,親鳥
(another's) parents,親御
surpassing,親勝り
surpassing one's parents,親勝り
decided,親裁
matter personally decided by the emperor,親裁
(one's own) handwriting (esp. someone of high rank or status),親筆
degree of kinship,等親
signature of an emperor or noble,親署
telegram sent by an emperor or head of state,親電
Okhotsk,親潮
Okhotsk Current,親潮
legal guardian,親権者
personal inspection,親閲
a personal guard or bodyguard,親衛兵
fans,親衛隊
ardent fans,親衛隊
visit by an emperor or noble,親臨
family-like,親類付合い
family-like relationship,親類付合い
written record of one's relatives,親類書き
giving one's all to,尽瘁
fresh meat,鮮肉
fresh blood,鮮血
bryology,蘚苔学
GCD,最大公約数
superlative,最上級
superlative (degree),最上級
lowest order,最下位
ultra-left,最左翼
ultra-left extremists,最左翼
radical right wing,最右翼
plurality,最多数
a minimum thermometer,最低温度計
the furthest ends,最果て
highest institute of education,最高学府
highest point,最高点
Supreme Public Prosecutor's Office,最高検察庁
one's final trump card,最終兵器
a respectful bow,最敬礼
washing only the soiled part (of a garment),摘み洗い
flirting,撮み食い
cinecamera,撮影機
hair parted on one side,七三
unfailing,七生報国
unfailing devotion to one's country,七生報国
benefiting from the influence of a master or parent,七光り
rice gruel traditionally eaten on the 7th day of the new year containing the seven plants of spring,七種がゆ
seven-spotted,七星瓢虫
ladybug,七星瓢虫
Coccinella,七星瓢虫
septempunctata,七星瓢虫
seven-spotted ladybug (Coccinella septempunctata),七星瓢虫
defects,七難
great number of faults or defects,七難
a series of disasters,七難八苦
rowan,七竃
Sorbus,七竃
commixta,七竃
Japanese rowan (Sorbus commixta),七竃
undercutting,切り下げ
syncopation,切分法
scrapbook,切り抜き帖
cutouts,切り紙細工
paper cutouts,切り紙細工
truncation,斬捨て
surgical operation,切開手術
John,絶交状
Dear John letter,絶交状
absolutist,絶対主義者
an absolutist,絶対主義者
absolute majority,絶対多数
Absolute,絶対者
the Absolute,絶対者
perfect pitch,絶対音感
absolute temperature,絶対温度
absolute quantity,絶対量
evaluation on an absolute scale,絶対評価
absolute zero,絶対零度
unique article,絶品
(of a kind) never to be seen again,絶後
sidesplitting,絶倒
sidesplitting laughter,絶倒
superb view,絶勝
giving up writing,絶筆
insulated,絶縁線
insulated wire,絶縁線
rave,絶讃
rave reviews,絶讃
brittleness,脆性
fragility,ぜい弱性
rhus,漆負け
dermatitis,漆負け
rhus dermatitis,漆負け
a lacquer painting,漆絵
address used after the names of one's parents, grandparents
individuals,膝行
moving forward by sliding on one's knees (in the presence of high-ranking individuals),膝行
keeping time by tapping one's knees,膝拍子
using someone's lap for a pillow,膝まくら
lap blanket,膝掛
pressing a demand with a face-to-face talk,膝詰め談判
putting up a sign forbidding entry, passage
hardened,札付
amulets,札所
temple which issues amulets,札所
economisation,節用
Setsuyōshū,節用集
Muromachi-era,節用集
Setsuyōshū (Muromachi-era Japanese dictionary),節用集
working on a day off (to make up for lost time, or to make an impression)
bad eyes,ふし穴
knot (in a tree, etc.)
conserving,節米
conserving rice,節米
end-of-year settling of accounts,節季仕舞い
(musical) intonation marks,節博士
fidelity to one's principles,節義
knotty,節榑
knotty wood or tree,節榑
made of knotted silk,節織り
dustbin,クズ入れ
crushed rice,屑米
waste thread,屑糸
scrap iron,クズ鉄
for eternity,未来永劫
future tense,未来形
detention pending trial,未決拘留
takes,未発
before an event takes place,未発
a primitive society,未開社会
seasoned nori (laver),味付けのり
decayed,味噌っ歯
decayed (baby) tooth,味噌っ歯
preserving,味噌づけ
preserving in miso,味噌づけ
fish sliced open, seasoned with mirin
taste bud,味蕾
the husband of one's younger sister,妹婿
inosculation,吻合
clothesline,物干竿
place for drying laundry,物干し場
matter and mind,物心
cost of equipment,物件費
failure to reach agreement,物別れ
forgetfulness,物忘
an insane person,物狂い
like mad,物狂おしい
burning curiosity,物見高い
price level,物価水準
price index,物価指数
price control,物価統制
bartering,物物交換
a knowing look,物知り顔
physical distribution,物的流通
material evidence,物的証拠
physical damage,物的損害
material resources,物的資源
physicality,物性
single serving of rice (esp. as prison food),物相飯
lazy person,懶
impalpable,物恐しい
(impalpable sense of) fright or horror,物恐しい
payment in kind,物納
a tax in kind,物納税
a standing joke,物笑い
physical chemistry,物理化学
physical therapy,物理療法
stinginess,物惜しみ
amount of material resources,物量
separation (e.g. by a screen, curtain
tax on goods and personal possessions,物税
fundamental element,物種
rem,物権
rights in rem,物権
material civilisation,物質文明
materialist,物質主義者
a materialist,物質主義者
material noun,物質名詞
literary person,文人
style of Southern Chinese painting,文人画
literary man,文士
cultured person,文化人
cultural anthropology,文化人類学
China's,文化大革命
Cultural,文化大革命
1966-76,文化大革命
(China's) Cultural Revolution (1966-76),文化大革命
cultural history,文化史
contributions,文化功労者
person who has made outstanding cultural contributions,文化功労者
cultural geography,文化地理学
Agency for Cultural Affairs,文化庁
country with a high level of culture,文化国家
cultural film,文化映画
cultural sphere,文化圏
Order,文化勲章
Merit,文化勲章
Order of Cultural Merit,文化勲章
civilian control (of the military),文民統制
teletext,文字多重放送
character board,文字盤
literary fame,文名
stylistics,文体論
a liberal arts department,文芸学
literary (and the arts) column,文芸欄
Literature,文学博士
Doctor of Literature,文学博士
literary criticism or theory,文学論
literary matters,文事
civilised nation,文明国
Westernization,文明開化
Japan's Westernization movement during the Meiji era (Westernisation),文明開化
(the products of) culture or civilization (civilisation),文物
stationer,文房具屋
a stationer,文房具屋
doing well in both school and sports,文武両道
Bunsei,文政
1818.4.22-1830.12.10,文政
Bunsei era (1818.4.22-1830.12.10),文政
enervating,文弱
(enervating) attraction to books or learning,文弱
forgery of documents,文書偽造
school zone,文教地区
(line of) reasoning,文理
literary language,文章語
Java, Padda oryzivora)
finch, Padda oryzivora)
Lonchura, Padda oryzivora)
oryzivora, Padda oryzivora)
Java rice finch (Lonchura oryzivora, Padda oryzivora)
one who lives from writing,文筆家
advance of the arts,文運
force of a literary style,文勢
embellishments,文飾
literary embellishments,文飾
elegant or refined style,文雅
text written in literary style,文語文
model composition,文範
selection of literary works,文選
picker,文選工
type picker,文選工
day on which prostitutes had to receive clients,紋日
figured,紋羽二重
habutae,紋羽二重
figured habutae,紋羽二重
clothing decorated with one's family crest,紋服
Sino-American,米中
American-French,米仏
rice crop or harvest,米収
and-or,米材
Canadian,米材
American (and-or Canadian) wood,米材
grain thief,米差
rice-bran oil,米油
Douglas,米松
Pseudotsuga,米松
menziesii,米松
common Douglas fir (Pseudotsuga menziesii),米松
rice-producing,米所
rice-producing region,米産地
American-German,米独
rice-based,米食
centered,米食
centred,米食
rice-based or centered diet (centred),米食
weevil,米食い虫
rice weevil,米食い虫
rice production,米産
wholesale rice dealer,米問屋
the necessities of life,米塩
rice polishing,米搗き
obsequious,米搗き飛蝗
obsequious person,米搗き飛蝗
rice-ration,米穀通帳
rice-ration book,米穀通帳
American cotton,米綿
money to purchase rice,米銭
1890, 1897 and 1918)
rice riot (esp. in 1890, 1897 and 1918)
wandering (off course),迷走
vagus,迷走神経
vagus nerve,迷走神経
unanswered,迷宮入り
remaining unanswered,迷宮入り
differential calculus,微分学
microbiologist,微生物学者
clothing designed not to attract attention,微服
a drizzle,微雨
micronutrient,微量元素
microanalysis,微量分析
slight wound,微傷
(differential and integral) calculus,微積分
dead to the world,昏昏
wedding clothes,婚礼衣装
in-laws,婚家
one's in-laws (esp. a woman's in-laws),婚家
tail and feathers,尾羽
pampas,尾花
(ear of) Japanese pampas grass,尾花
tailbone,尾骨
buckle,尾錠
Swordfish,梶木座
the Swordfish,梶木座
marlin,梶木鮪
Broussonetia,楫の木
papyrifera,楫の木
paper mulberry (Broussonetia papyrifera),楫の木
yoke,舵棒
detached perspective,没理想
thermal power generation,火力発電
drying by fire,火干し
volcanic zone,火山帯
volcanic chain,火山脈
volcanic island,火山島
projectiles,火山弾
volcanic projectiles,火山弾
lapilli,火山礫
discordant,火水
(as discordant as) fire and water,火水
flammables!,火気厳禁
colour of flames,火色
bamboo blowpipe used to stimulate a fire,火吹き竹
fire alarm,火災報知機
fire alert,火災警報
attacking with fire,火攻め
expressing one's sympathy after a fire,火事見舞
someone who takes advantage of a crisis to commit a crime,火事場泥棒
scene of a fire,火事場
lighting-up,燈ともし頃
lighting-up time,燈ともし頃
(Edo-period) fireman,火消
protection against fire,火よけ
wooden brazier,火桶
torture by fire,火責め
fire-walking,火渡り
fire-walking (walking over fire or burning coals),火渡り
body covered with flames,火ダルマ
fire iron used to rake ash,火搔き
hot flash,熱り
an iron,火熨斗
firing line,火線
explosives warehouse,火薬庫
one's follower,門下
fire lit at a gate for funerals, weddings and O-Bon
open door policy,門戸開放政策
street musician,門附
beyond one's area of expertise,門外
gate lamp,門灯
in front of the gate,門前
refusing to receive a caller,門前払い
dowager,門院
empress dowager,門院
"gate",門構
169,門構
kanji "gate" radical (radical 169),門構
a pass allowing one through a gate,門鑑
verbena,美女桜
beautification,美化運動
a beautification drive,美化運動
flowery prose,美文
ornate,美文調
an ornate style,美文調
attractively,美本
attractively bound book,美本
beautiful maiko or geisha,美妓
beautiful voice,美声
fine play,美技
cultural study,美育
fine clothing,美服
an aesthetic existence,美的生活
a fine custom,美俗
a sweet voice,美音
epicure,美食
living as an epicure,美食
gourmet,美食家
high-grade sake,美酒
cosmetology,美容術
commendable,美挙
commendable act,美挙
art history,美術史
the world of the arts,美術界
beautiful scenery,美景
aesthetic sense,美意識
pretty words,美辞
beautiful hair,美髪
impressive tale,美談
qualities,美質
good qualities,美質
beautiful face,美顔
facial care or treatment,美顔術
a late bloomer,晩成
evening scene,晩景
the last stage,晩期
one's later years,晩節
developing late,晩熟
late frost,晩霜
now that things have come to this,此の上
in the future,此の先
such and such,此れ此れ
on this occasion,此の程
with this opportunity,此の際
this way,此の様
at this rate,此の儘
purple spot,紫斑
vetch,紫雲英
Chinese milk vetch,紫雲英
swordflash,紫電
red sandalwood,紫檀
Bletilla,紫蘭
striata,紫蘭
orchid,紫蘭
Bletilla striata (purple variety of orchid),紫蘭
Ohio,紫露草
spiderwort,紫露草
Tradescantia,紫露草
ohiensis,紫露草
Ohio spiderwort (Tradescantia ohiensis),紫露草
monoecism,雌雄同株
sexual selection,雌雄選択
unisexualism,雌雄異体
dioecism,雌雄異株
sexing, silkworms
sexing (of chickens, silkworms
hairy,ひげ面
hairy face,ひげ面
seafood,姿焼
retains,姿焼
seafood cooked whole so that it retains its original form,姿焼
capitalist,資本主義者
a capitalist,資本主義者
capital transaction,資本取引
capital goods,資本財
one's disposition,資性
revaluation of assets,資産再評価
statement of assets,資産負債表
wealthy person,資産家
income stock,資産株
valuation of assets,資産評価
rain-cleansed,霽月
moon shining in a rain-cleansed sky,霽月
the husband of one's elder sister,姉婿
modeled,姉様人形
kimono-clad,姉様人形
modelled,姉様人形
paper doll modeled after a kimono-clad woman (modelled),姉様人形
opening of a new theater (theatre),柿落し
one's wife and daughter or daughters,妻女
door to a pavilion in a Heian-period palace,妻戸
mistress(es,妻妾
one's wife and mistress(es),妻妾
egoism,自己主義
advertising oneself,自己宣伝
self-criticism,自己批判
self-preservation,自己保存
self-deceit,自己欺まん
self-alienation,自己疎外
pressing one's own cause,自己顕示
craving for the limelight,自己顕示欲
a fire raging in one's own home,自火
stupefaction,自失
a free nation,自由主義国家
(early Meiji era) democratic rights ideology,自由民権論
day laborer (labourer),自由労働者
non-intervention,自由放任
a free port,自由港
unrestricted operations,自由営業
freedom to choose one's marriage partner, parental wishes notwithstanding
free will,自由意志
free verse,自由詩
free competition,自由競争
opinionated,自用
rice not subject to government controls,自主流通米
self-limitation,自主規制
freehand,自在画
freehand drawing,自在画
pothook (for hanging a pot, etc. over a fire)
self-realisation,自我実現
the remainder,爾余
scuttling,自沈
scuttling one's own boat,自沈
benefiting oneself,自利
guardhouse,番所
guardhouse (Edo-period city),自身番
self-annotation,自註
self-annotation of one's writings,自註
student council,自治会
self-governing,自治領
self-governing dominion,自治領
one's own weight,自重
having great faith in oneself,自信満満
self-conceit,自負心
autopurificatory,自浄作用
autopurificatory activity (in the natural world),自浄作用
autonomic ataxia,自律神経失調症
autotoxemia,自家中毒
self-pollination,自家受粉
self-fertilisation,自家受精
beck,自家薬籠中の物
at one's beck and call,自家薬籠中の物
belongs,自党
the political party to which one belongs,自党
(the crime of) aiding and abetting a suicide,自殺ほう助
one's own writing,自書
inflicting damage to oneself,自虐
self-registering,自記
self-registering thermometer,自記温度計
hygrometer,自記湿度計
self-registering hygrometer,自記湿度計
ADF,自動方向探知機
ATS,自動列車停止装置
ATC,自動列車制御装置
automobile insurance,自動車保険
vehicle tax,自動車税
car telephone,自動車電話
automatic control,自動制御
self-winding,自動巻き
self-winding watch,自動巻き
automatic coupler,自動連結機
autopilot,自動操縦装置
being paid back for one's deeds,自得
one's own literary work,自著
study time,自習時間
an earned run,自責点
rotating,自転車操業
barely keeping a business going (analogy that a bicycle falls over when its wheels cease rotating),自転車操業
soliloquising,自問自答
physical person,自然人
force(s,自然力
force(s) of nature,自然力
naturalist,自然主義者
(in the Diet) a spontaneous recess,自然休会
physical geography,自然地理学
(dying of) natural causes,自然死
natural law,自然法
nature conservation,自然保護
spontaneous combustion,自然発火
spontaneous occurrence,自然発生
organic food,自然食品
nature worship,自然崇拝
natural phenomenon (phenomena),自然現象
natural or automatic increase in revenue,自然増収
Nature,自然環境保全法
Conservation,自然環境保全法
1972,自然環境保全法
Nature Conservation Act (1972),自然環境保全法
perspective on nature,自然観
paying one's own way,自腹
publishing at one's own expense,自費出版
drinking in desperation,焼酒
drowning one's cares in drink,焼飲み
self-destruction,自壊
(the act of) disintegration,自壊作用
right of self defence,自衛権
selfish(ness,自儘
selfish(ness),自儘
blowing oneself up,自爆
municipal police,自警
vigilante,自警団
